model,rung,tag,comp,label,pred,conf,route,kind,err
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.85,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.92,0.85,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.85,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.93,0.85,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.55,0.5,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.93,0.85,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.85,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.3,0.6,SELF,parsed,1
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.1,0.7,SELF,parsed,1
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.97,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.55,0.6,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.8,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.7,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.7,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.85,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.93,0.85,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.85,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.93,0.85,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.7,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.9,0.8,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.85,0.7,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.75,0.6,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.55,0.6,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.95,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.97,0.9,SELF,parsed,0
claude-opus-4-8,sc_cellsentence,web-rich,in,1,0.97,0.95,SELF,parsed,0
