model,rung,tag,comp,label,pred,conf,route,kind,err
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.85,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.55,0.35,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.4,0.3,DEFER,parsed,1
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.85,0.5,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.9,0.6,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.3,0.3,DEFER,parsed,1
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.75,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.6,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.5,0.3,DEFER,parsed,1
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.6,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.7,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.85,0.5,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.6,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.6,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.9,0.6,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.6,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.7,0.45,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.85,0.5,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.9,0.7,SELF,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.85,0.6,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.4,0.35,DEFER,parsed,1
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.25,0.4,DEFER,parsed,1
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.92,0.7,SELF,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.5,0.3,DEFER,parsed,1
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.7,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.97,0.85,SELF,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.6,0.35,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.95,0.7,SELF,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.4,0.3,DEFER,parsed,1
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.97,0.85,SELF,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.85,0.5,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.85,0.6,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.5,0.3,DEFER,parsed,1
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.9,0.7,SELF,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.55,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.75,0.35,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.97,0.85,SELF,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.75,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.7,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,1,0.95,0.75,SELF,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.35,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.2,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.35,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.5,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.15,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.1,0.55,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.15,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.15,0.35,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.35,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.35,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.55,0.4,DEFER,parsed,1
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.05,0.6,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.6,0.3,DEFER,parsed,1
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.15,0.35,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.15,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.4,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.35,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.2,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.2,0.35,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.5,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.7,0.4,DEFER,parsed,1
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.2,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.15,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.35,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.08,0.55,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.25,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.3,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.15,0.5,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.2,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.3,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.3,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.05,0.55,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.25,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.15,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.85,0.45,DEFER,parsed,1
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.15,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.4,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.3,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.15,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel,web-rich-novel,novel,0,0.35,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.6,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.7,0.45,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.5,0.2,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.7,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.85,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.5,0.2,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.6,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.5,0.2,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.45,0.15,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.3,0.2,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.85,0.45,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.7,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.5,0.2,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.4,0.2,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.85,0.5,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.7,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.6,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.5,0.2,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.85,0.45,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.85,0.55,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.3,0.2,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.3,0.3,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.85,0.6,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.55,0.25,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.6,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.85,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.7,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.9,0.6,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.15,0.3,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.8,0.45,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.75,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.85,0.55,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.15,0.3,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.65,0.4,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.3,0.2,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.6,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.9,0.6,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.7,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.6,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,1,0.85,0.55,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.4,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.4,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.6,0.3,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.4,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.25,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.25,0.15,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.15,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.15,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.25,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.2,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.4,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.15,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.5,0.15,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.3,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.3,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.4,0.15,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.2,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.5,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.3,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.45,0.15,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.6,0.3,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.5,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.3,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.55,0.2,DEFER,parsed,1
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.2,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.4,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.4,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.15,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.5,0.15,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.4,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.5,0.15,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.15,0.3,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.5,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.3,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.5,0.2,DEFER,parsed,0
claude-opus-4-8,variant_novel_seq,web-poor,novel,0,0.4,0.2,DEFER,parsed,0
