name,anon,label
the amino acid alanine,the amino acid aa_9335,1
the amino acid valine,the amino acid aa_8691,1
the amino acid leucine,the amino acid aa_4292,1
the amino acid isoleucine,the amino acid aa_2830,1
the amino acid proline,the amino acid aa_4441,1
the amino acid phenylalanine,the amino acid aa_9918,1
the amino acid methionine,the amino acid aa_2052,1
the amino acid tryptophan,the amino acid aa_6264,1
the amino acid glycine,the amino acid aa_4960,1
the amino acid serine,the amino acid aa_6513,0
the amino acid threonine,the amino acid aa_9578,0
the amino acid cysteine,the amino acid aa_1298,0
the amino acid tyrosine,the amino acid aa_3029,0
the amino acid asparagine,the amino acid aa_8649,0
the amino acid glutamine,the amino acid aa_4167,0
the amino acid aspartate,the amino acid aa_8207,0
the amino acid glutamate,the amino acid aa_7376,0
the amino acid lysine,the amino acid aa_8427,0
the amino acid arginine,the amino acid aa_1342,0
the amino acid histidine,the amino acid aa_9388,0
