name,anon,label
the drug diazepam,the drug drug_6033,1
the drug fluoxetine,the drug drug_1766,1
the drug sertraline,the drug drug_9869,1
the drug morphine,the drug drug_2382,1
the drug haloperidol,the drug drug_7930,1
the drug risperidone,the drug drug_6657,1
the drug lorazepam,the drug drug_3016,1
the drug alprazolam,the drug drug_9221,1
the drug amphetamine,the drug drug_7082,1
the drug methylphenidate,the drug drug_1383,1
the drug gabapentin,the drug drug_2858,1
the drug lamotrigine,the drug drug_8148,1
the drug donepezil,the drug drug_5527,1
the drug levodopa,the drug drug_6374,1
the drug codeine,the drug drug_6759,1
the drug ketamine,the drug drug_8396,1
the drug zolpidem,the drug drug_6905,1
the drug olanzapine,the drug drug_2828,1
the drug venlafaxine,the drug drug_6937,1
the drug carbamazepine,the drug drug_7024,1
the drug phenytoin,the drug drug_9488,1
the drug clonazepam,the drug drug_6527,1
the drug metformin,the drug drug_7035,0
the drug atorvastatin,the drug drug_4546,0
the drug lisinopril,the drug drug_3859,0
the drug amoxicillin,the drug drug_5087,0
the drug omeprazole,the drug drug_2206,0
the drug warfarin,the drug drug_6364,0
the drug furosemide,the drug drug_6902,0
the drug albuterol,the drug drug_4185,0
the drug hydrochlorothiazide,the drug drug_1786,0
the drug ibuprofen,the drug drug_5945,0
the drug levothyroxine,the drug drug_1534,0
the drug prednisone,the drug drug_6304,0
the drug metoprolol,the drug drug_5286,0
the drug amlodipine,the drug drug_2066,0
the drug ciprofloxacin,the drug drug_9785,0
the drug ranitidine,the drug drug_3794,0
the drug simvastatin,the drug drug_9422,0
the drug losartan,the drug drug_4223,0
the drug insulin,the drug drug_9760,0
the drug azithromycin,the drug drug_7154,0
the drug clopidogrel,the drug drug_9610,0
the drug montelukast,the drug drug_1926,0
