text_name,text_anon,label
Protein A: TEX10 ; Protein B: TRPM5,Protein A: PROT_2730 ; Protein B: PROT_3010,0
Protein A: FCGR3A ; Protein B: NCR1,Protein A: PROT_0115 ; Protein B: PROT_0340,1
Protein A: MRPL33 ; Protein B: MRPS9,Protein A: PROT_2043 ; Protein B: PROT_3050,1
Protein A: GOSR2 ; Protein B: FCGR2A,Protein A: PROT_3019 ; Protein B: PROT_1518,0
Protein A: TALDO1 ; Protein B: PFKM,Protein A: PROT_3415 ; Protein B: PROT_0066,1
Protein A: MAPK8 ; Protein B: H2BC17,Protein A: PROT_2849 ; Protein B: PROT_0332,0
Protein A: IDO1 ; Protein B: CDH1,Protein A: PROT_0652 ; Protein B: PROT_0718,0
Protein A: MED14 ; Protein B: MRPL45,Protein A: PROT_0772 ; Protein B: PROT_2154,0
Protein A: LEFTY2 ; Protein B: SNRNP35,Protein A: PROT_0821 ; Protein B: PROT_0548,0
Protein A: APOE ; Protein B: VTN,Protein A: PROT_0343 ; Protein B: PROT_1091,1
Protein A: JOSD2 ; Protein B: UBB,Protein A: PROT_3428 ; Protein B: PROT_0079,1
Protein A: PPP2R2C ; Protein B: IRAK4,Protein A: PROT_1874 ; Protein B: PROT_2572,1
Protein A: SOS1 ; Protein B: SH3KBP1,Protein A: PROT_1989 ; Protein B: PROT_0068,1
Protein A: NDUFAB1 ; Protein B: MT-CYB,Protein A: PROT_0082 ; Protein B: PROT_0627,1
Protein A: CTNNA3 ; Protein B: ACTB,Protein A: PROT_2370 ; Protein B: PROT_2307,1
Protein A: DHRS3 ; Protein B: DHRS9,Protein A: PROT_0040 ; Protein B: PROT_1865,1
Protein A: PDE5A ; Protein B: HPRT1,Protein A: PROT_1717 ; Protein B: PROT_0797,1
Protein A: STRN4 ; Protein B: PPP2R1A,Protein A: PROT_3339 ; Protein B: PROT_0420,1
Protein A: ALG13 ; Protein B: ALG1,Protein A: PROT_0440 ; Protein B: PROT_0865,1
Protein A: ARRB1 ; Protein B: RAF1,Protein A: PROT_0988 ; Protein B: PROT_1200,1
Protein A: ALG1 ; Protein B: GIT2,Protein A: PROT_0865 ; Protein B: PROT_1985,0
Protein A: SEPTIN12 ; Protein B: RPS12,Protein A: PROT_1508 ; Protein B: PROT_2877,0
Protein A: UBB ; Protein B: ERCC2,Protein A: PROT_0079 ; Protein B: PROT_0159,0
Protein A: NT5C3A ; Protein B: NT5M,Protein A: PROT_2574 ; Protein B: PROT_2008,1
Protein A: CENPW ; Protein B: CENPS,Protein A: PROT_1529 ; Protein B: PROT_1430,1
Protein A: CKAP5 ; Protein B: NOTCH3,Protein A: PROT_2478 ; Protein B: PROT_2012,0
Protein A: LHX3 ; Protein B: ISL1,Protein A: PROT_3246 ; Protein B: PROT_1064,1
Protein A: IL4 ; Protein B: RPL8,Protein A: PROT_2875 ; Protein B: PROT_3383,0
Protein A: PMPCA ; Protein B: NDUFS4,Protein A: PROT_2465 ; Protein B: PROT_1833,1
Protein A: CUL1 ; Protein B: FBXL5,Protein A: PROT_3020 ; Protein B: PROT_1623,1
Protein A: PPP1R2 ; Protein B: COX7B,Protein A: PROT_1373 ; Protein B: PROT_3168,0
Protein A: C1S ; Protein B: CCDC120,Protein A: PROT_0211 ; Protein B: PROT_1438,0
Protein A: UQCRB ; Protein B: BTN3A2,Protein A: PROT_2384 ; Protein B: PROT_2863,0
Protein A: ATP6V1B1 ; Protein B: ATP6AP2,Protein A: PROT_0002 ; Protein B: PROT_0515,1
