label,cell_sentence,anon
0,SF3B5 LYRM4 GZMB NKG7 SPON2 CCL4 CTSW LIMD2 PRF1 CCL5 CCL3 GNLY LGALS1 ARPC1B ID2 FGFBP2 GSTP1 TRAF3IP3 ATP6V0E1 CAPZB HLA-DPA1 CST7 FCER1G RNF113A UBXN1 ARPC4 CCND2 RNF213 RAB7A HAVCR2 FNBP4 KLRC1 STRA13 CCDC124 AC010642.1 EIF1AY CSNK1A1 ABRACL PTPRN2 PHF3 PSMB8 EIF5 LRRK2 HNRNPL CKS1B CSNK2B UBE3A PRSS23 SNX3 PRKD2,feat_496 feat_430 feat_909 feat_1321 feat_321 feat_1118 feat_761 feat_1143 feat_701 feat_1116 feat_1117 feat_186 feat_1351 feat_536 feat_152 feat_332 feat_769 feat_129 feat_423 feat_14 feat_460 feat_1195 feat_106 feat_596 feat_752 feat_243 feat_797 feat_1158 feat_290 feat_417 feat_743 feat_808 feat_1162 feat_1281 feat_1340 feat_1341 feat_414 feat_494 feat_562 feat_475 feat_457 feat_953 feat_815 feat_1301 feat_90 feat_450 feat_959 feat_776 feat_484 feat_1313
1,ATP5O SF3B5 ELP5 TOMM40 REEP3 ARHGAP11A IL32 GIMAP7 NT5C3A LTB TRAF3IP3 DYNLT1 CYBA SMDT1 S100A6 PTPRCAP LGALS3 SF3B1 STK17A CD79B SRSF3 SAT1 RRS1 HLA-DPA1 PSME1 VDAC3 SNRNP27 S100A11 ALKBH7 PRDX1 MKKS TMBIM6 MAL IRF7 YWHAB HINT1 CSNK2B RBM3 ECHDC1 HSP90AA1 RUNDC1 SELL NPHP3 C12orf10 IDH3G ISCA2 TAPBP CD48 WNK1 TTC14,feat_1368 feat_496 feat_1089 feat_1311 feat_697 feat_962 feat_1019 feat_555 feat_516 feat_446 feat_129 feat_503 feat_1071 feat_1357 feat_85 feat_766 feat_922 feat_217 feat_518 feat_1145 feat_467 feat_571 feat_623 feat_460 feat_900 feat_616 feat_175 feat_82 feat_1244 feat_41 feat_1190 feat_820 feat_188 feat_724 feat_1211 feat_397 feat_450 feat_576 feat_489 feat_951 feat_1131 feat_115 feat_292 feat_824 feat_602 feat_939 feat_463 feat_102 feat_794 feat_308
1,RAB34 S100A6 ABRACL CCL5 ACTN4 NKG7 GNLY NUDT5 LTB GIMAP7 GZMK CYBA SUMO3 STX4 HLA-DRB1 SRSF5 GTF3A CHD2 SIVA1 SRGN HLA-DPB1 ETHE1 PSMA7 RASGRP2 S100A11 CWC15 TCEA2 TXNDC17 TCF12 RFC1 SLC4A7 TMEM14B CTSW GIMAP5 CHPF2 MORF4L2 RORA MAEA FGFBP2 ATP5H CD37 BTN3A2 LYAR MFSD10 MYADM GIMAP2 ABT1 DYNLL1 LINC00211 ECHDC1,feat_1110 feat_85 feat_494 feat_1116 feat_1299 feat_1321 feat_186 feat_683 feat_446 feat_555 feat_382 feat_1071 feat_1372 feat_1044 feat_454 feat_934 feat_875 feat_1006 feat_956 feat_699 feat_461 feat_1310 feat_1223 feat_757 feat_82 feat_780 feat_1227 feat_1086 feat_980 feat_337 feat_249 feat_433 feat_761 feat_558 feat_559 feat_593 feat_985 feat_322 feat_332 feat_1151 feat_1319 feat_439 feat_327 feat_326 feat_1328 feat_557 feat_441 feat_863 feat_166 feat_489
1,RAD51B POLR3K STAMBP S100A6 DIAPH1 LAMTOR1 RAB7A RNF187 CCL5 GZMA GIMAP7 ARF6 IL32 PIK3R1 HENMT1 UBB PCMT1 NKG7 ARPC1B SRGN CD37 CD2 GIMAP4 GIMAP2 CST7 CAPZB HNRNPM ATP5D PDIA3 TMBIM6 SLA VAMP8 VPS13C FAM173A C17orf59 HAGH PRPF8 POLR3E CYBA COMMD8 SRP72 GZMK LITAF NNT-AS1 C4orf3 KARS PRMT2 ISY1 NCF2 MYO9B,feat_931 feat_1008 feat_178 feat_85 feat_409 feat_770 feat_290 feat_141 feat_1116 feat_383 feat_555 feat_916 feat_1019 feat_386 feat_60 feat_1097 feat_500 feat_1321 feat_536 feat_699 feat_1319 feat_72 feat_556 feat_557 feat_1195 feat_14 feat_1251 feat_1231 feat_972 feat_820 feat_639 feat_184 feat_986 feat_1013 feat_1095 feat_1016 feat_1078 feat_1033 feat_1071 feat_340 feat_344 feat_382 feat_1027 feat_379 feat_367 feat_1066 feat_1374 feat_291 feat_119 feat_1275
1,FLOT1 IL32 CCL5 GZMK LYAR NKG7 FAM107B PTPRCAP SRSF5 CTSW MCM3 HINT1 ARL6IP5 UBXN1 LYRM4 TBCB DERL1 AQP3 TXNDC17 TMEM14B RAB7A S100A6 TIGIT ACADM PAFAH1B1 DGKZ ATP6V0E1 RP5-1028K7.2 LSM14A BLCAP INO80C SF3B1 CDC42EP3 PSMA7 GIMAP7 GIMAP4 DOCK10 NDUFA10 SUCLG2 PNRC1 RBM3 TRAF3IP3 NONO CSRP1 P2RY10 ISCA2 SRSF3 HLA-DPA1 TMEM9B TMBIM6,feat_442 feat_1019 feat_1116 feat_382 feat_327 feat_1321 feat_686 feat_766 feat_934 feat_761 feat_474 feat_397 feat_276 feat_752 feat_430 feat_1295 feat_636 feat_649 feat_1086 feat_433 feat_290 feat_85 feat_284 feat_48 feat_1080 feat_739 feat_423 feat_1125 feat_1291 feat_1207 feat_1175 feat_217 feat_165 feat_1223 feat_555 feat_556 feat_230 feat_235 feat_275 feat_480 feat_576 feat_129 feat_586 feat_123 feat_587 feat_939 feat_467 feat_460 feat_731 feat_820
1,DDX46 RBM3 TMBIM6 ID2 ITSN2 ATP5H GZMA LRIG2 ARGLU1 CCL5 SRSF3 S100A6 PDIA3 PTPRCAP CTSW TAF1D LAMTOR1 DNAJC2 DENND2D UBB DRAM2 NARG2 SDHAF2 ACADVL NR3C1 INIP PSMA1 PPP6C LTB BBX PSMB8 CD48 MRP63 PPIG ARPC1B VAMP5 CHMP4A DPY30 ATP5D CCDC94 PROK2 ARF6 GNPAT PCNX RAD23A BABAM1 CCDC124 IDH3G HLA-DRB1 EIF5,feat_401 feat_576 feat_820 feat_152 feat_158 feat_1151 feat_383 feat_70 feat_892 feat_1116 feat_467 feat_85 feat_972 feat_766 feat_761 feat_778 feat_770 feat_539 feat_66 feat_1097 feat_64 feat_984 feat_750 feat_1088 feat_411 feat_662 feat_732 feat_665 feat_446 feat_281 feat_457 feat_102 feat_874 feat_206 feat_536 feat_185 feat_903 feat_163 feat_1231 feat_1240 feat_277 feat_916 feat_143 feat_935 feat_1266 feat_1276 feat_1281 feat_602 feat_454 feat_953
1,GNLY DNAJA1 HOPX NKG7 IFITM3 CTSW ABT1 TYROBP IL32 SELL XCL2 UBB PTPRCAP CYBA GIMAP7 GZMK CST7 CD37 XCL1 FCER1G GZMB SRGN LIMD2 PNRC1 SPTSSB PSMA7 SERPINB1 RNF187 IER3 RTFDC1 C9orf16 ALKBH7 ATP5C1 MLLT6 SNW1 GSTP1 HNRNPM ID2 TIGIT C1orf162 SPRTN GTF3A CCL5 BLCAP DNAJC15 NDUFB8-1 WARS2 TNFRSF9 NKTR FCGR3A,feat_186 feat_648 feat_345 feat_1321 feat_723 feat_761 feat_441 feat_1293 feat_1019 feat_115 feat_112 feat_1097 feat_766 feat_1071 feat_555 feat_382 feat_1195 feat_1319 feat_113 feat_106 feat_909 feat_699 feat_1143 feat_480 feat_304 feat_1223 feat_429 feat_141 feat_443 feat_1219 feat_667 feat_1244 feat_682 feat_1123 feat_943 feat_769 feat_1251 feat_152 feat_284 feat_68 feat_144 feat_875 feat_1116 feat_1207 feat_882 feat_709 feat_73 feat_6 feat_256 feat_107
1,CCL5 NKG7 IL32 CYBA PSME1 LTB UBB DEF6 GABARAPL2 ID2 RAB7A YIPF3 GYG1 SRSF5 SRGN PPP1R2 KLRB1 SNHG8 CD79B KLRG1 ICAM2 KIF5B HLA-DPB1 HSP90AA1 NT5C CD48 LYAR CDC37 CST7 GIMAP4 S100A11 S100A6 ARPC5L CDK19 HDAC2 TMBIM6 SNW1 IL27RA C12orf10 ISY1 RP5-827C21.4 RNF7 MMADHC SLC27A1 PRKD2 RBPJ HLA-DQA1 ATP5SL DNAJA1 CDKN2A,feat_1116 feat_1321 feat_1019 feat_1071 feat_900 feat_446 feat_1097 feat_464 feat_1065 feat_152 feat_290 feat_472 feat_299 feat_934 feat_699 feat_316 feat_806 feat_366 feat_1145 feat_805 feat_1146 feat_690 feat_461 feat_951 feat_1153 feat_102 feat_327 feat_1254 feat_1195 feat_556 feat_82 feat_85 feat_664 feat_486 feat_487 feat_820 feat_943 feat_1267 feat_824 feat_291 feat_145 feat_297 feat_202 feat_1278 feat_1313 feat_336 feat_455 feat_1306 feat_648 feat_647
1,LTB SAT1 METTL8 IL32 S100A6 ARPC1B S100A11 AQP3 SRSF5 VAMP8 HSP90AA1 GIMAP7 CD37 LYAR ID2 GIMAP5 PYCARD LGALS1 PSMB8 CD2 LIMD2 UBE3A SNX3 C3orf38 CCL5 ABRACL AHSA1 GTF3A GPR171 EIF5 UBB STK17A TNFRSF4 RTFDC1 RBM4 PTPRCAP NDUFB8-1 C1orf86 TMBIM6 SDHAF2 UBE2D3 ATP5D GADD45B SLBP TRAF3IP3 YPEL3 ILF3-AS1 TNFSF12 ELOF1 PARP1,feat_446 feat_571 feat_207 feat_1019 feat_85 feat_536 feat_82 feat_649 feat_934 feat_184 feat_951 feat_555 feat_1319 feat_327 feat_152 feat_558 feat_1046 feat_1351 feat_457 feat_72 feat_1143 feat_959 feat_484 feat_278 feat_1116 feat_494 feat_942 feat_875 feat_301 feat_953 feat_1097 feat_518 feat_0 feat_1219 feat_764 feat_766 feat_709 feat_3 feat_820 feat_750 feat_361 feat_1231 feat_1235 feat_323 feat_129 feat_1040 feat_1256 feat_1092 feat_1262 feat_138
0,DYNLL1 NKG7 GNLY GZMB ID2 FCER1G SRGN CYBA CD160 CST7 RALY CCL5 LGALS1 FGFBP2 APOBEC3G MPHOSPH10 GTF3A FCRL6 HOPX HAVCR2 GADD45B PSMB8 UBB SPON2 ATP5C1 FCGR3A PSME1 LIMD2 ARPC5L SRSF5 CCL3 MVD ARPC1B HNRNPM SAT1 COMMD4 PTPRN2 TMED5 PRSS23 STOML2 CTSW NUDT1 VAMP8 TPM1 PTPRCAP SLC25A11 TXNDC17 RORA RP5-1073O3.7 NKTR,feat_863 feat_1321 feat_186 feat_909 feat_152 feat_106 feat_699 feat_1071 feat_75 feat_1195 feat_1200 feat_1116 feat_1351 feat_332 feat_1354 feat_176 feat_875 feat_99 feat_345 feat_417 feat_1235 feat_457 feat_1097 feat_321 feat_682 feat_107 feat_900 feat_1143 feat_664 feat_934 feat_1117 feat_1072 feat_536 feat_1251 feat_571 feat_996 feat_562 feat_58 feat_776 feat_651 feat_761 feat_507 feat_184 feat_987 feat_766 feat_1085 feat_1086 feat_985 feat_71 feat_256
