label,cell_sentence,anon
1,CST3 S100A6 AIF1 SAT1 TYROBP HLA-DRB1 CYBA TPM4 HLA-DPB1 FCER1G S100A11 POLR2I COTL1 NPC2 ARPC1B LST1 LGALS1 GPX1 HLA-DPA1 IFITM3 PSME1 FGL2 UBE2D3 S100A8 CTSS PYCARD CDA TYMP CD37 RTFDC1 GRN SRSF5 ID2 GSTP1 C4orf3 GNAI2 FYB RP11-792A8.4 MS4A6A CSNK2B C9orf16 C5AR1 SDAD1 GIMAP4 HLA-DQB1 HLA-DMA OCIAD1 TBCB OAS1 CEBPB,feat_1104 feat_83 feat_402 feat_526 feat_1189 feat_407 feat_987 feat_1170 feat_415 feat_105 feat_80 feat_1190 feat_984 feat_865 feat_491 feat_400 feat_1252 feat_236 feat_414 feat_665 feat_830 feat_487 feat_325 feat_82 feat_75 feat_966 feat_11 feat_1267 feat_1216 feat_1125 feat_1047 feat_861 feat_146 feat_713 feat_329 feat_237 feat_339 feat_483 feat_691 feat_403 feat_618 feat_1211 feat_317 feat_508 feat_409 feat_413 feat_303 feat_1191 feat_795 feat_1123
0,SAT1 LST1 CST3 AIF1 FCER1G S100A11 LGALS1 S100A8 TYMP C9orf16 ARL4A ATP6V1F PSME1 GNAI2 RBM3 S100A6 SRGN GSTP1 LGALS3 SMCO4 SCP2 HIST1H2AC FCGRT ICAM2 MED30 ARHGDIA CSNK2B CSNK1A1 CYBA PRDX1 ANAPC13 COTL1 SELPLG STRA13 JAGN1 GRPEL1 TMEM242 SRSF5 BTK TXNDC17 C5AR1 CMTM7 MBOAT7 MARCH2 HNRNPM UBXN1 PI4KB C1orf162 XXbac-BPG299F13.17 TRIM16L,feat_526 feat_400 feat_1104 feat_402 feat_105 feat_80 feat_1252 feat_82 feat_1267 feat_618 feat_466 feat_498 feat_830 feat_237 feat_530 feat_83 feat_645 feat_713 feat_850 feat_721 feat_44 feat_393 feat_1217 feat_1062 feat_585 feat_1079 feat_403 feat_367 feat_987 feat_38 feat_262 feat_984 feat_788 feat_1080 feat_218 feat_293 feat_453 feat_861 feat_543 feat_998 feat_1211 feat_223 feat_1228 feat_1154 feat_1155 feat_699 feat_78 feat_67 feat_398 feat_1013
1,COTL1 S100A6 LGALS1 SAT1 CST3 TYROBP LST1 CTSS LGALS2 FCN1 IFITM3 CYBA GPX1 S100A11 YWHAB TYMP S100A8 LAMTOR1 ID2 GSTP1 CD37 UBE2L6 EMG1 MAFB SERPINB1 ABRACL GLB1 ODC1 UBB FCGR2A UBE2D2 FCER1G ATP6V0E1 GABARAPL2 PYCARD CCDC94 TMBIM6 LGALS3 APOBEC3A ARPC1B H2AFY ECSIT GRN FCGRT HLA-DRB1 PDIA3 UBXN1 AIF1 LTB4R NAA20,feat_984 feat_83 feat_1252 feat_526 feat_1104 feat_1189 feat_400 feat_75 feat_1250 feat_626 feat_665 feat_987 feat_236 feat_80 feat_1119 feat_1267 feat_82 feat_714 feat_146 feat_713 feat_1216 feat_688 feat_745 feat_1117 feat_381 feat_447 feat_224 feat_148 feat_1008 feat_106 feat_359 feat_105 feat_375 feat_981 feat_966 feat_1145 feat_760 feat_850 feat_1254 feat_491 feat_357 feat_1162 feat_1047 feat_1217 feat_407 feat_899 feat_699 feat_402 feat_837 feat_1102
1,LGALS1 CST3 S100A6 TYROBP SAT1 CYBA HLA-DPA1 NDUFB10 COTL1 S100A11 LST1 HLA-DPB1 MFSD1 CD37 CTSS AIF1 FCN1 SRGN LGALS2 LGALS3 FCER1G TYMP GSTP1 HLA-DRB1 C1orf162 NPC2 IFITM3 PSME1 UBB CEBPB APOBEC3B PSMA7 S100A8 BTN3A2 IFI30 RBM3 GIMAP7 ATP6V1F ATP5D ERH TALDO1 DYNLL1 MS4A6A FCGR3A NAPRT1 SRSF5 MAFB GSTO1 BLOC1S1 TSSC1,feat_1252 feat_1104 feat_83 feat_1189 feat_526 feat_987 feat_414 feat_936 feat_984 feat_80 feat_400 feat_415 feat_270 feat_1216 feat_75 feat_402 feat_626 feat_645 feat_1250 feat_850 feat_105 feat_1267 feat_713 feat_407 feat_67 feat_865 feat_665 feat_830 feat_1008 feat_1123 feat_1255 feat_1129 feat_82 feat_394 feat_1180 feat_530 feat_507 feat_498 feat_1137 feat_860 feat_668 feat_798 feat_691 feat_107 feat_592 feat_861 feat_1117 feat_658 feat_765 feat_145
1,S100A8 TYROBP IL8 S100A6 CST3 LGALS1 AIF1 S100A11 ARPC1B ATP5D CYBA TYMP COTL1 SAT1 PNRC1 ATP6V0E1 PARL RBM3 GCA TALDO1 PLBD1 CTSS GPX1 CD37 LAMTOR1 GSTP1 NPC2 LGALS3 LST1 BLVRA CSNK1A1 TNFSF13B HLA-DPA1 ATP6V1F NDUFA2 FPR1 PSMB8 SRSF5 ATP5A1 SPPL2A NSA2 CASP4 RETN OTUB1 ATP5O ID2 FCN1 CEBPB IFFO1 FCER1G,feat_82 feat_1189 feat_311 feat_83 feat_1104 feat_1252 feat_402 feat_80 feat_491 feat_1137 feat_987 feat_1267 feat_984 feat_526 feat_433 feat_375 feat_277 feat_530 feat_186 feat_668 feat_750 feat_75 feat_236 feat_1216 feat_714 feat_713 feat_865 feat_850 feat_400 feat_476 feat_367 feat_825 feat_414 feat_498 feat_361 feat_1223 feat_411 feat_861 feat_1089 feat_902 feat_346 feat_725 feat_1151 feat_701 feat_1271 feat_146 feat_626 feat_1123 feat_742 feat_105
0,LST1 FCGR3A COTL1 LGALS1 SAT1 AIF1 CTD-2006K23.1 FCER1G TYMP CTSS S100A6 CYBA C19orf24 IFITM3 HLA-DRB1 S100A11 ARPC1B CAPZB CEBPB SRGN TYROBP LIMD2 UBB ATP5C1 PSME1 FCGR2A CST3 TALDO1 NPC2 RXRA IFIT1 ARPC4 H2AFY HSP90AA1 HLA-DPA1 DNAJA1 ATP5H CD37 GPX1 VPS28 ABRACL SNX3 RBM39 ADPRM GBP1 NCOA4 LINC00936 SRSF3 RBM3 CNPY3,feat_400 feat_107 feat_984 feat_1252 feat_526 feat_402 feat_1064 feat_105 feat_1267 feat_75 feat_83 feat_987 feat_1138 feat_665 feat_407 feat_80 feat_491 feat_10 feat_1123 feat_645 feat_1189 feat_1059 feat_1008 feat_634 feat_830 feat_106 feat_1104 feat_668 feat_865 feat_625 feat_652 feat_216 feat_357 feat_880 feat_414 feat_597 feat_1067 feat_1216 feat_236 feat_595 feat_447 feat_438 feat_1112 feat_1007 feat_55 feat_641 feat_780 feat_421 feat_530 feat_424
1,VAMP5 LGALS1 TYROBP S100A6 CST3 CTSS CYBA PSME1 NPC2 GSTP1 S100A8 SAT1 VAMP8 CD48 AIF1 ARPC1B FCN1 CD37 HLA-DRB1 TYMP ID2 HLA-DPB1 HLA-DPA1 TRAF3IP3 RAB7A MYADM S100A11 SRGN VPS28 SRSF5 COTL1 LST1 TMEM14C MAFB GRN GPX1 CSNK2B MS4A6A G0S2 TALDO1 C9orf16 GABARAPL2 SERPINB1 ALKBH7 NAPRT1 ATP5C1 SSBP1 UBE2D2 BAZ2A TMEM14B,feat_172 feat_1252 feat_1189 feat_83 feat_1104 feat_75 feat_987 feat_830 feat_865 feat_713 feat_82 feat_526 feat_171 feat_100 feat_402 feat_491 feat_626 feat_1216 feat_407 feat_1267 feat_146 feat_415 feat_414 feat_126 feat_256 feat_1225 feat_80 feat_645 feat_595 feat_861 feat_984 feat_400 feat_385 feat_1117 feat_1047 feat_236 feat_403 feat_691 feat_125 feat_668 feat_618 feat_981 feat_381 feat_1150 feat_592 feat_634 feat_502 feat_359 feat_770 feat_386
1,COTL1 CST3 TYROBP FCN1 S100A6 CYBA S100A8 LGALS1 SRGN NPC2 IFITM3 AIF1 CTSS GSTP1 ARPC1B FCER1G HLA-DRB1 PYCARD LST1 S100A11 GPX1 HLA-DPB1 FCGR2A TYMP SAT1 LGALS2 CCL3 C1orf162 CD37 TNFSF10 VPS28 CDC37 C5AR1 GABARAPL2 HLA-DPA1 FYB CD48 SH3GLB1 TAPBP BLOC1S1 SNX3 IGFBP7 LAMTOR1 UBE2D3 IFI30 RAB7A PDIA3 LRCH4 ILF3-AS1 FCGRT,feat_984 feat_1104 feat_1189 feat_626 feat_83 feat_987 feat_82 feat_1252 feat_645 feat_865 feat_665 feat_402 feat_75 feat_713 feat_491 feat_105 feat_407 feat_966 feat_400 feat_80 feat_236 feat_415 feat_106 feat_1267 feat_526 feat_1250 feat_1028 feat_67 feat_1216 feat_271 feat_595 feat_1156 feat_1211 feat_981 feat_414 feat_339 feat_100 feat_52 feat_417 feat_765 feat_438 feat_308 feat_714 feat_325 feat_1180 feat_256 feat_899 feat_492 feat_1157 feat_1217
1,NCOR2 PARL CST3 S100A8 GPX1 TYROBP RBM3 S100A6 SAT1 TYMP COTL1 LGALS1 ARPC1B CYBA ATP5D GRN SRGN JUND LST1 UBXN1 CTSS IFITM3 FCER1G HINT1 HLA-DRB1 IGSF6 GSTP1 LGALS3 LAMTOR1 FCGRT SRSF5 PUM1 UBE2D1 ATP5A1 VAMP8 PSMB8 PNRC1 PSMC5 CNPY3 CD37 GNAI2 EFHD2 ABT1 CSNK2B TALDO1 PRDX1 NCF2 PIGX SELL TBCB,feat_806 feat_277 feat_1104 feat_82 feat_236 feat_1189 feat_530 feat_83 feat_526 feat_1267 feat_984 feat_1252 feat_491 feat_987 feat_1137 feat_1047 feat_645 feat_1181 feat_400 feat_699 feat_75 feat_665 feat_105 feat_351 feat_407 feat_950 feat_713 feat_850 feat_714 feat_1217 feat_861 feat_23 feat_642 feat_1089 feat_171 feat_411 feat_433 feat_1060 feat_424 feat_1216 feat_237 feat_7 feat_395 feat_403 feat_668 feat_38 feat_118 feat_283 feat_114 feat_1191
0,CYBA H2AFY S100A6 AIF1 COTL1 HLA-DPB1 HLA-DPA1 CST3 S100A11 TYROBP SAT1 IFITM3 FCER1G CTSS LGALS1 LST1 FCN1 HLA-DRB1 APOBEC3A NPC2 IFI30 SRGN FCGR3A LGALS3 ARRB2 ARPC1B CEBPB ICAM2 PSMC5 VAMP8 CD48 LIMD2 ABI3 MAFB RBM39 TNFSF10 YWHAB LAMTOR1 OAS1 STAU1 CASP4 CEP164 ORMDL2 ZC3H15 C1orf162 PSME1 EIF5 IFIT1 PSMB6 CAPZB,feat_987 feat_357 feat_83 feat_402 feat_984 feat_415 feat_414 feat_1104 feat_80 feat_1189 feat_526 feat_665 feat_105 feat_75 feat_1252 feat_400 feat_626 feat_407 feat_1254 feat_865 feat_1180 feat_645 feat_107 feat_850 feat_995 feat_491 feat_1123 feat_1062 feat_1060 feat_171 feat_100 feat_1059 feat_1050 feat_1117 feat_1112 feat_271 feat_1119 feat_714 feat_795 feat_1122 feat_725 feat_730 feat_766 feat_194 feat_67 feat_830 feat_882 feat_652 feat_996 feat_10
